delivery_number,no_of_unit,description,quantity,per_unit_kg,unit_type
36935,340,EVA,8500,25,Bag
36936,4158,RUBBER  BASE SLIPPER SOLE COMPOUND,103950,25,Bag
36937,  365.00 ,RUBBER  BASE SLIPPER OUTER COMPOUND,9125,25,Bag
17896,  113.00 , PVC SOFT GRANEL COMPOUND 5040 SS ,2825,25,Bag
37143,  340.00 ,EVA,8500,25,Bag
17897,  48.00 ,PVC HARD SOLE COMPOUND GRANUEL 25036 HS,1200,25,Bag
37144,  1144.00 ,RUBBER  BASE SLIPPER SOLE COMPOUND,28600,25,Bag
37145,268,RUBBER  BASE SLIPPER OUTER COMPOUND,6700,25,Bag
17823,  4.00 ,PP 503,100,25,Bag
37056,  322.00 ,RUBBER  BASE SLIPPER OUTER COMPOUND,8050,25,Bag
37057,  46.00 ,RUBBER  BASE SLIPPER OUTER COMPOUND,1150,25,Bag
37150,  40.00 ,HDPE,1000,25,Bag
37153,  138.00 ,RUBBER COMPOUND 1055,3450,25,Bag
36938,  161.00 ,EVA,4025,25,Bag
36939,  340.00 ,EVA,8500,25,Bag
37052,  213.00 ,Master Bach,5325,25,Bag
37053,  213.00 ,Master Bach,5325,25,Bag
17868,  180.00 ,PVC SOFT CRYSTAL COMPOUND 25047,4500,25,Bag
37054,1745,RUBBER  BASE SLIPPER SOLE COMPOUND,43625,25,Bag
37055,3955,RUBBER  BASE SLIPPER OUTER COMPOUND,98875,25,Bag
37149,  160.00 ,EVA,4000,25,Bag
37147,  200.00 ,EVA,5000,25,Bag
37148,  57.00 ,EVA,1425,25,Bag
37151,1324,RUBBER  BASE SLIPPER SOLE COMPOUND,33100,25,Bag
37152,180,RUBBER  BASE SLIPPER OUTER COMPOUND,4500,25,Bag
37058,  20.00 ,MASTER BATCH 5015,500,25,Bag
37156,  136.00 ,RUBBER COMPOUND 1055,3400,25,Bag
36940,  340.00 ,EVA,8500,25,Bag
36941,  340.00 ,EVA,8500,25,Bag
36942,2742,RUBBER  BASE SLIPPER SOLE COMPOUND,68550,25,Bag
17870,  170.00 , PVC SOFT GRANEL COMPOUND 5040 SS ,4250,25,Bag
37924,  8.00 ,Master Batch 4167,200,25,Bag
37059,  334.00 , EVA ,8350,25,Bag
17869,96,PVC SOFT CRYSTAL COMPOUND 25048,2400,25,Bag
37061,3144,RUBBER  BASE SLIPPER SOLE COMPOUND,78600,25,Bag
37154,  106.00 ,EVA,2650,25,Bag
37155,1559,RUBBER  BASE SLIPPER SOLE COMPOUND,38975,25,Bag
17874,  16.00 , PVC HARD SOLE COMPOUND GRANUEL 25036HS ,400,25,Bag
17871,110,PVC SOFT CRYSTAL COMPOUND 25049,2750,25,Bag
37067,  632.00 ,RUBBER  BASE SLIPPER OUTER COMPOUND,15800,25,Bag
37161,137,RUBBER COMPOUND 1055,3425,25,Bag
37064,  214.00 ,Master Bach,5350,25,Bag
37063,  10.00 ,PE WAX,250,25,Bag
37065,1549,RUBBER  BASE SLIPPER SOLE COMPOUND,38725,25,Bag
37157,  200.00 ,Master Bach,5000,25,Bag
37158,  200.00 ,Master Bach,5000,25,Bag
37159,1556,RUBBER  BASE SLIPPER SOLE COMPOUND,38900,25,Bag
37160,178,RUBBER  BASE SLIPPER OUTER COMPOUND,4450,25,Bag
17825,  19.00 ,PVC Soft RANUEL COMPOUND  5040ssc,475,25,Bag
36947,  420.00 ,RUBBER  BASE SLIPPER OUTER COMPOUND,10500,25,Bag
37068,  1.00 ,Blue pigment 504 A-2,25,25,Bag
17876,  1.00 ,PVC CABLE GRANULE  COMPOUND 5017,25,25,Bag
37070,2742,RUBBER  BASE 7707 SHEET COMPOUND,68550,25,Bag
37069,  67.00 ,RUBBER  BASE EVA Bottom SHEET COMPOUND,1675,25,Bag
36943,  340.00 ,EVA,8500,25,Bag
36944,200,EVA,5000,25,Bag
17824,  130.00 ,PVC HARD SOLE COMPOUND GRANUEL 25036 HS,3250,25,Bag
36945,3745,RUBBER  BASE SLIPPER SOLE COMPOUND,93625,25,Bag
36946,  303.00 ,RUBBER  BASE SLIPPER OUTER COMPOUND,7575,25,Bag
17875,  179.00 , PVC HARD SOLE COMPOUND GRANUEL 25036HS ,4475,25,Bag
37071,  17.00 ,MASTER BATCH 4175,425,25,Bag
37071,  20.00 ,MASTER BATCH 4321,500,25,Bag
37071,  3.00 ,MASTER BATCH 3141,75,25,Bag
37072,  2000.00 ,RUBBER  BASE SLIPPER LAYER SHEET COMPOUND,50000,25,Bag
37073,  1258.00 ,RUBBER  BASE 7707 SHEET COMPOUND,31450,25,Bag
17878,  70.00 ,Waste Drum,1750,25,Bag
17878,  30.00 ,Plastic Waste Drums,750,25,Bag
36948,  340.00 ,EVA,8500,25,Bag
36949,  100.00 ,EVA,2500,25,Bag
36950,3254,RUBBER  BASE SLIPPER SOLE COMPOUND,81350,25,Bag
36951,  379.00 ,RUBBER  BASE SLIPPER OUTER COMPOUND,9475,25,Bag
17877,  96.00 , PVC SOFT GRANEL COMPOUND 5040 SS ,2400,25,Bag
17880,  205.00 , PVC HARD SOLE COMPOUND GRANUEL 25036HS ,5125,25,Bag
17881,  126.00 ,PVC HARD SOLE COMPOUND GRANUEL 25036 HS,3150,25,Bag
37074,2012,RUBBER  BASE SLIPPER SOLE COMPOUND,50300,25,Bag
37077,  224.00 ,RUBBER  BASE SLIPPER LAYER SHEET COMPOUND,5600,25,Bag
36952,302, EVA ,7550,25,Bag
36956,2521,RUBBER  BASE SLIPPER SOLE COMPOUND,63025,25,Bag
36953,  350.00 ,RUBBER  BASE SLIPPER OUTER COMPOUND,8750,25,Bag
36957,1106,RUBBER  BASE SLIPPER OUTER COMPOUND,27650,25,Bag
17827,  80.00 , PVC CABLE GRANUEL COMPOUND 5016 CC ,2000,25,Bag
17883,228,PVC SOFT CRYSTAL COMPOUND 25050,5700,25,Bag
17882,  38.00 ,PVC HARD SOLE COMPOUND GRANUEL 25036 HS,950,25,Bag
37078,2240,RUBBER  BASE SLIPPER SOLE COMPOUND,56000,25,Bag
37075,266,RUBBER  BASE SLIPPER OUTER COMPOUND,6650,25,Bag
37076,1947,RUBBER  BASE SLIPPER OUTER COMPOUND,48675,25,Bag
36958,340, EVA ,8500,25,Bag
36959,  814.00 ,RUBBER  BASE SLIPPER OUTER COMPOUND,20350,25,Bag
17829,  80.00 , PVC CABLE GRANUEL COMPOUND 5016 CC ,2000,25,Bag
36963,30,MASTER BATCH 4169,750,25,Bag
36962,4133,RUBBER  BASE SLIPPER SOLE COMPOUND,103325,25,Bag
36964,3317,RUBBER  BASE SLIPPER SOLE COMPOUND,82925,25,Bag
17830,  145.00 ,WAST PACKAGING MATERIAL ,3625,25,Bag
17830,  100.00 ,WAST PACKAGING MATERIAL ,2500,25,Bag
36961,  340.00 , EVA ,8500,25,Bag
36965,802,RUBBER  BASE SLIPPER OUTER COMPOUND,20050,25,Bag
37080,  1978.00 ,RUBBER  BASE SLIPPER SOLE COMPOUND,49450,25,Bag
37082,2004,RUBBER  BASE SLIPPER OUTER COMPOUND,50100,25,Bag
17831,  12.00 ,PVC CABLE GRANULE COMPOUND,300,25,Bag
36967,2095,RUBBER  BASE SLIPPER SOLE COMPOUND,52375,25,Bag
