delivery_number,no_of_unit,description,quantity,per_unit_kg,unit_type
36951,379,RUBBER  BASE SLIPPER OUTER COMPOUND,9475,25,BAG
36953,350,RUBBER  BASE SLIPPER OUTER COMPOUND,8750,25,BAG
36957,"1,106.00",RUBBER  BASE SLIPPER OUTER COMPOUND,27650,25,BAG
37075,266,RUBBER  BASE SLIPPER OUTER COMPOUND,6650,25,BAG
37076,1947,RUBBER  BASE SLIPPER OUTER COMPOUND,48675,25,BAG
36959,814,RUBBER  BASE SLIPPER OUTER COMPOUND,20350,25,BAG
37118,897,RUBBER  BASE SLIPPER OUTER COMPOUND,,425,BAG
37017,264,RUBBER  BASE SLIPPER OUTER COMPOUND,,600,BAG
37123,917,RUBBER  BASE SLIPPER OUTER COMPOUND,,925,BAG
36987,6,RUBBER  BASE SLIPPER SOLE COMPOUND,568,164,BAG
36988,2,RUBBER  BASE SLIPPER SOLE COMPOUND,347,58,BAG
37100,2,RUBBER  BASE SLIPPER SOLE COMPOUND,440,61,BAG
36869,821,RUBBER  BASE SLIPPER SOLE COMPOUND,20,525,BAG
36871,5,RUBBER  BASE SLIPPER SOLE COMPOUND,206,130,BAG
36999,4,RUBBER  BASE SLIPPER SOLE COMPOUND,299,107,BAG
37103,2,RUBBER  BASE SLIPPER SOLE COMPOUND,686,67,BAG
36864,342,RUBBER  BASE SLIPPER SOLE COMPOUND,8,550,BAG
36866,200,RUBBER  BASE SLIPPER SOLE COMPOUND,5,0,BAG
36877,5078,RUBBER  BASE SLIPPER SOLE COMPOUND,126,950,BAG
37107,3,RUBBER  BASE SLIPPER SOLE COMPOUND,947,98,BAG
36884,5359,RUBBER  BASE SLIPPER SOLE COMPOUND,133,975,BAG
37004,1,RUBBER  BASE SLIPPER SOLE COMPOUND,369,34,BAG
37113,2,RUBBER  BASE SLIPPER SOLE COMPOUND,57,51,BAG
37010,2,RUBBER  BASE SLIPPER SOLE COMPOUND,937,73,BAG
37117,1,RUBBER  BASE SLIPPER SOLE COMPOUND,525,38,BAG
37016,2,RUBBER  BASE SLIPPER SOLE COMPOUND,831,70,BAG
37122,1,RUBBER  BASE SLIPPER SOLE COMPOUND,828,45,BAG
37020,"3,426.00",RUBBER  BASE SLIPPER SOLE COMPOUND,85650,25,BAG
37024,"3,116.00",RUBBER  BASE SLIPPER SOLE COMPOUND,77900,25,BAG
37126,"1,352.00",RUBBER  BASE SLIPPER SOLE COMPOUND,33800,25,BAG
37129,56,RUBBER  BASE SLIPPER SOLE COMPOUND,1400,25,BAG
37028,"1,848.00",RUBBER  BASE SLIPPER SOLE COMPOUND,46200,25,BAG
37131,848,RUBBER  BASE SLIPPER SOLE COMPOUND,21200,25,BAG
36904,284,RUBBER  BASE SLIPPER SOLE COMPOUND,7100,25,BAG
36906,4473,RUBBER  BASE SLIPPER SOLE COMPOUND,111825,25,BAG
36913,4819,RUBBER  BASE SLIPPER SOLE COMPOUND,120475,25,BAG
37031,"3,514.00",RUBBER  BASE SLIPPER SOLE COMPOUND,87850,25,BAG
36918,2216,RUBBER  BASE SLIPPER SOLE COMPOUND,55400,25,BAG
37034,"2,906.00",RUBBER  BASE SLIPPER SOLE COMPOUND,72650,25,BAG
37134,683,RUBBER  BASE SLIPPER SOLE COMPOUND,17075,25,BAG
37038,"1,552.00",RUBBER  BASE SLIPPER SOLE COMPOUND,38800,25,BAG
37039,"2,856.00",RUBBER  BASE SLIPPER SOLE COMPOUND,71400,25,BAG
36924,2374,RUBBER  BASE SLIPPER SOLE COMPOUND,59350,25,BAG
37044,"4,561.00",RUBBER  BASE SLIPPER SOLE COMPOUND,114025,25,BAG
36929,1024,RUBBER  BASE SLIPPER SOLE COMPOUND,25600,25,BAG
37048,"4,671.00",RUBBER  BASE SLIPPER SOLE COMPOUND,116775,25,BAG
36933,6002,RUBBER  BASE SLIPPER SOLE COMPOUND,150050,25,BAG
37050,"4,883.00",RUBBER  BASE SLIPPER SOLE COMPOUND,122075,25,BAG
37140,860,RUBBER  BASE SLIPPER SOLE COMPOUND,21500,25,BAG
36936,4158,RUBBER  BASE SLIPPER SOLE COMPOUND,103950,25,BAG
37144,"1,144.00",RUBBER  BASE SLIPPER SOLE COMPOUND,28600,25,BAG
37054,"1,745.00",RUBBER  BASE SLIPPER SOLE COMPOUND,43625,25,BAG
37151,"1,324.00",RUBBER  BASE SLIPPER SOLE COMPOUND,33100,25,BAG
36942,2742,RUBBER  BASE SLIPPER SOLE COMPOUND,68550,25,BAG
37061,"3,144.00",RUBBER  BASE SLIPPER SOLE COMPOUND,78600,25,BAG
37155,"1,559.00",RUBBER  BASE SLIPPER SOLE COMPOUND,38975,25,BAG
37065,"1,549.00",RUBBER  BASE SLIPPER SOLE COMPOUND,38725,25,BAG
